session_id,x,sequence_codes
1,6,78BA22
2,3,144
3,4,AB22
4,2,AA
5,4,9080
6,4,9819
7,10,A50B729632
8,5,52434
9,4,3161
10,6,B0365B
11,3,833
12,6,105A90
13,10,1803A76956
14,7,0B85495
15,9,B1973A403
16,10,69320B58A6
17,7,A791383
18,8,65198727
19,6,901531
20,5,83168
21,7,2B5A141
22,8,56129701
23,6,6B8922
24,7,5971636
25,11,3B870A96454
26,7,54A2082
27,8,0A3B2482
28,7,6295474
29,3,646
30,7,4953A04
31,12,A4B593871207
32,5,A968A
33,7,9602511
34,9,A29461B39
35,8,573426A6
36,6,506399
37,9,5A6307212
38,9,6B53A7807
39,4,A211
40,7,28436B6
41,5,12B01
42,6,562787
43,3,177
44,7,92641A4
45,8,75B80417
46,4,3818
47,7,3876B08
48,8,7091A251
49,3,522
50,7,6859729
51,9,8B9A57049
52,7,B65A79B
53,4,9B44
54,7,2036580
55,5,930BB
56,8,610495B1
57,6,9482AA
58,6,748A28
59,4,0688
60,5,53922
61,5,36A4A
62,2,11
63,2,55
64,4,9BAB
65,8,90548B6B
66,11,036219B4874
67,6,A41699
68,4,7588
69,7,08724B7
70,8,364A297A
71,8,73249053
72,4,6500
73,4,9879
74,12,195B4670A826
75,8,8BA35676
76,12,960718325A43
77,10,A46918B202
78,10,3B8509A163
79,3,070
80,3,252
81,6,08A122
82,3,4BB
83,8,1289A638
84,7,A425B66
85,4,7565
86,8,284A3762
87,5,94311
88,10,89B7364518
89,8,1B9507A9
90,5,B4A8A
91,2,77
92,3,484
93,6,A174BB
94,7,5893463
95,11,B14567A9239
96,11,B237A408598
97,6,14B588
98,4,B414
99,3,A55
100,3,363
101,2,99
102,6,B4A101
103,5,50715
104,9,327091646
105,3,A77
106,7,40296A4
107,3,393
108,4,17BB
109,9,20B61A742
110,7,46798A7
111,4,2404
112,9,3B5A06846
113,10,346BA95077
114,8,B01965A6
115,6,768297
116,4,4B55
117,7,3561783
118,5,69B44
119,4,9700
120,7,02B85A8
121,4,3103
122,6,43A214
123,4,8020
124,13,1B39487A25607
125,9,15A3B4868
126,7,3B52413
127,3,566
128,5,946A6
129,2,77
130,4,31B3
131,5,B837B
132,6,746B56
133,9,0B835429B
134,2,88
135,5,B293B
136,9,491675807
137,7,08143A3
138,3,A88
139,5,68255
140,4,03AA
141,5,38900
142,2,77
143,4,A787
144,8,A6435B99
145,5,90520
146,7,9867056
147,7,18B7500
148,6,560980
149,4,4868
150,8,29B18459
151,6,102582
152,4,3515
153,3,933
154,4,1391
155,7,A397622
156,5,57135
157,3,676
158,9,1824B3501
159,6,83A575
160,10,7A16594829
161,5,56796
162,6,6BA84A
163,9,6B9785407
164,8,94B20570
165,7,61A5B36
166,6,5984B5
167,10,265BA7419A
168,7,4752600
169,6,571931
170,4,4255
171,6,7BA044
172,3,020
173,9,AB5742095
174,7,0796A44
175,6,9BA355
176,10,65283109B8
177,12,819324B60572
178,10,410829A656
179,3,262
180,10,BA74261353
181,6,023747
182,5,49329
183,4,B177
184,4,2BA2
185,6,4A5914
186,6,B50A85
187,3,929
188,8,64925039
