x,uniform_count,uniform_percent,uniform_exact_probability,uniform_exact_expected_count,uniform_observed_minus_expected,adaptive_count,adaptive_percent,adaptive_exact_probability,adaptive_exact_expected_count,adaptive_observed_minus_expected
2,788,7.88,0.08333333,833.333,-45.333,435,4.35,0.04347826,434.783,0.217
3,1562,15.62,0.15277778,1527.778,34.222,853,8.53,0.08695652,869.565,-16.565
4,1932,19.32,0.19097222,1909.722,22.278,1253,12.53,0.12422360,1242.236,10.764
5,1862,18.62,0.19097222,1909.722,-47.722,1448,14.48,0.14906832,1490.683,-42.683
6,1667,16.67,0.15914352,1591.435,75.565,1565,15.65,0.15691402,1569.140,-4.140
7,1090,10.90,0.11140046,1114.005,-24.005,1485,14.85,0.14645309,1464.531,20.469
8,646,6.46,0.06498360,649.836,-3.836,1202,12.02,0.12060843,1206.084,-4.084
9,317,3.17,0.03094457,309.446,7.554,877,8.77,0.08614888,861.489,15.511
10,105,1.05,0.01160421,116.042,-11.042,517,5.17,0.05168933,516.893,0.107
11,26,0.26,0.00322339,32.234,-6.234,246,2.46,0.02461396,246.140,-0.140
12,5,0.05,0.00059096,5.910,-0.910,103,1.03,0.00833088,83.309,19.691
13,0,0.00,0.00005372,0.537,-0.537,16,0.16,0.00151471,15.147,0.853
