session_id,x,sequence_codes
1,3,A0A
2,10,62A158397A
3,2,99
4,3,8B8
5,4,9833
6,7,2648A76
7,4,A686
8,5,2B702
9,7,794A8B7
10,4,3010
11,3,505
12,6,746907
13,6,894B19
14,4,1099
15,9,349720811
16,5,53A1A
17,4,27A2
18,2,00
19,3,566
20,4,58BB
21,4,7637
22,5,62ABA
23,2,77
24,6,6241B2
25,9,9018734B3
26,5,59ABB
27,3,211
28,9,6924708B4
29,2,AA
30,4,6787
31,6,164B7B
32,6,08B120
33,7,B587233
34,5,7B02B
35,3,311
36,4,2182
37,8,6BA0514A
38,6,524011
39,3,9AA
40,3,767
41,6,940733
42,4,6393
43,3,B0B
44,8,7956B215
45,7,2A6714A
46,6,36A1B1
47,6,576986
48,4,AB00
49,6,B39161
50,4,8A98
51,5,7A58A
52,9,2B659A409
53,6,821B48
54,7,7A3B45B
55,4,5B1B
56,4,6101
57,6,7234AA
58,4,5675
59,4,0711
60,4,1899
61,6,A95785
62,4,0630
63,6,A97317
64,2,77
65,4,4704
66,7,30A4570
67,4,7252
68,3,818
69,10,28437B1501
70,6,8304A3
71,5,B6322
72,4,5A99
73,5,A8768
74,5,87A0A
75,5,63A11
76,5,B8066
77,3,388
78,6,950622
79,3,474
80,4,9319
81,5,A3B13
82,7,96B35AB
83,2,44
84,8,714AB323
85,4,6535
86,6,184077
87,3,131
88,6,173927
89,4,2755
90,6,468318
91,4,9B8B
92,3,060
93,3,755
94,10,87324AB157
95,7,9037655
96,4,0255
97,3,811
98,5,18363
99,7,B694859
100,8,5A9B3613
101,5,7B2AB
102,6,850A98
103,6,61A576
104,8,926481B2
105,7,607A8B0
106,8,0A567B33
107,5,52464
108,8,37B15641
109,6,216B8B
110,6,245B72
111,7,B461521
112,5,B4A84
113,4,BA4B
114,2,AA
115,2,33
116,5,A94BB
117,4,3909
118,3,404
119,2,00
120,8,50B71A6B
121,6,86B244
122,3,272
123,5,B1801
124,2,BB
125,5,6A37A
126,4,4614
127,3,808
128,5,540A4
129,4,0ABA
130,4,6746
131,5,59389
132,6,294074
133,6,8A6B5B
134,5,27A57
135,8,93517A22
136,3,ABA
137,6,A1B424
138,5,A631A
139,8,45081A78
140,6,6AB85A
141,8,AB735922
142,3,585
143,8,8B041978
144,5,5B313
145,4,BA99
146,4,4384
147,2,99
148,2,33
149,7,A894059
150,2,BB
151,4,1909
152,8,70465A30
153,8,07621A82
154,5,52944
155,7,6981B55
156,6,635206
157,3,878
158,3,919
159,4,5399
160,6,A94377
161,2,55
162,5,9B38B
163,6,83B508
164,4,8477
165,3,797
166,5,B8525
167,6,AB762B
168,6,0BA199
169,2,77
170,2,00
171,4,A494
172,4,A232
173,5,B0188
174,4,73A7
175,5,B6232
176,6,B73522
177,6,695B4B
178,5,69505
179,4,6816
180,4,8378
181,7,B349824
182,4,6B99
183,6,0298B0
184,3,B8B
185,6,A9B05A
186,3,858
187,5,0B383
188,7,382AB1A
189,2,00
190,7,6B70A22
191,3,7A7
192,6,730187
193,9,A95643125
194,4,1422
195,2,55
196,6,43B804
197,6,94A379
198,6,A768BA
199,4,B79B
200,3,911
201,3,5B5
202,4,1B51
203,8,31849A09
204,3,979
205,4,9033
206,8,1357B848
207,4,79A7
208,5,34074
209,5,A46B6
210,4,7699
211,5,65B86
212,4,5822
213,7,B320612
214,6,827434
215,6,18A242
216,5,24B62
217,3,282
218,10,35809A412A
219,7,12B6591
220,6,1BA60B
221,4,4BAA
222,3,411
223,7,45873A7
224,4,B12B
225,4,34A4
226,5,85122
227,6,614388
228,3,711
229,6,814368
230,3,088
231,3,1B1
232,3,255
233,5,48595
234,4,8368
235,5,6B838
236,4,0630
237,10,7856A03199
238,4,7A17
239,5,6B233
240,4,7137
241,3,299
242,6,A49209
243,8,6378B243
244,3,747
245,7,2637A12
246,6,854294
247,6,3970AA
248,5,B6A0A
249,5,03A70
250,4,B525
251,6,3490B3
252,4,42A2
253,6,A37202
254,4,7407
255,4,7687
256,6,AB9727
257,6,A7B252
258,2,66
259,6,540833
260,3,656
261,7,0983548
262,9,1B29A5345
263,5,A0430
264,7,A180B99
265,7,57641BB
266,9,05B8A6744
267,3,B33
268,3,050
269,7,0184971
270,7,795A14A
271,3,199
272,4,15B1
273,4,3292
274,3,131
275,7,580B360
276,7,8B0A39B
277,4,3B00
278,4,B939
279,2,44
280,3,522
281,5,B7197
282,3,B66
283,2,22
284,5,3BA5A
285,4,A545
286,2,11
287,4,15B5
288,5,8A73A
289,4,7044
290,3,300
291,8,AB804166
292,3,944
293,6,A29644
294,3,B1B
295,7,9420B74
296,4,6B46
297,7,3A98464
298,3,477
299,6,A34184
300,6,93A788
301,3,522
302,5,32B13
303,8,39A50711
304,3,077
305,5,A3B5A
306,5,48010
307,5,1B080
308,5,08658
309,4,7167
310,7,91A6781
311,3,588
312,5,79622
313,3,677
314,3,322
315,10,369702B819
316,4,1909
317,6,0A1421
318,2,00
319,2,22
320,5,42834
321,3,B00
322,7,4A9B089
323,5,615A1
324,4,3653
325,6,2B3744
326,5,7B600
327,2,AA
328,3,B00
329,7,52A48B8
330,6,529079
331,6,874524
332,4,9141
333,7,87301A1
334,6,30B620
335,7,2B5907B
336,10,89A1B23077
337,5,40757
338,3,933
339,2,22
340,6,13A89A
341,5,60940
342,6,9B0A4B
343,3,767
344,6,945077
345,6,089A22
346,3,454
347,2,88
348,4,5848
349,6,475B25
350,4,60AA
351,5,57929
352,6,9238A9
353,9,2B549A808
354,5,B465B
355,7,2B56A8A
356,2,77
357,3,099
358,8,39845768
359,9,1980526B2
360,6,2A1652
361,5,58622
362,10,834B19067B
363,3,959
364,2,11
365,9,A49217069
366,5,7A567
367,9,482A5B614
368,5,3A7B3
369,6,7432B2
370,9,946B5A72B
371,9,682A9B512
372,2,00
373,2,11
374,3,833
375,5,826AA
376,2,44
377,5,54011
378,3,8A8
379,3,033
380,3,833
381,8,60BA4750
382,3,899
383,6,1B39A3
384,4,4974
385,5,B7858
386,3,022
387,5,8B909
388,2,88
389,4,45B5
390,8,4B697855
391,8,209A715A
392,6,9710AA
393,6,1AB466
394,5,693B9
395,5,7B9A7
